"BOC","OC","BOCDescription"
"4193","41","NON CH31-CONTRT COUNSL PAY PY"
"4201","42","JUDGMNT FUND EXP-CONT-VACO 150"
"4202","42","UNFUND JUDGMNT FUND EXP-CO 150"
"4203","42","JUDGMENT FUND-CONTRACT DISPUTE"
"4205","42","NO FEAR ACT SETTLEMENTS"
"4210","42","PENSION ANNUITIES & INS CLAIMS"
"4220","42","FEDERAL TORT CLAIMS"
"4221","42","MEDICAL MALPRACTICE CLAIMS SET"
"4222","42","EEO CLAIM SETTLEMENTS"
"4223","42","FLSA CLAIMS SETTLEMENT"
"4250","42","REIMBURSEMENT FOR LOSSES"
"4260","42","ADMIN. EXPENSE,INSURANCE PRG"
"4265","42","DIRECT LOAN TAX INTEREST/PENAL"
"4266","42","GUARAN. CLAIM PAYMTS. ON FCPRO"
"4267","42","LOAN GUARN PROG B/P"
"4301","43","LGP FED INT BOR EXP - VBA"
"4310","43","INTEREST EXP-CAP LEASE PURCHAS"
"4320","43","INTEREST ON DIV, CREDITS&DEP"
"4330","43","DIVIDENDS, INSURANCE PRGS"
"4420","44","PLS SMG ESCROW"
"1223","12","FERS SPECIAL VA SHARE"
"1224","12","FERS THRIFT VA SHARE"
"1225","12","FEE BASIS - OASDI-VA SHARE"
"1226","12","FEE BASIS - MEDICARE-VA SHARE"
"1227","12","CHANGE IN FECA LIABIL STA150"
"1228","12","ACCRUED FECA EXP STA 150 ONLY"
"1229","12","ACCRUED ANNUAL LEAVE EXP 150"
"1230","12","DIRECT PAYMENT CLOSING COSTS"
"1231","12","ACCRUED FUNDED ANNUAL LEAVE"
"1232","12","FERS REG VA SHARE HIRED AFT12"
"1233","12","FERS SPC VA SHARE HIRED AFT12"
"1234","12","RECRUITMENT BONUS"
"1235","12","RETENTION ALLOWANCE"
"1236","12","RELOCATION BONUS"
"1237","12","FERS REG VA SHARE HIRED AFT13"
"1238","12","FERS SPC VA SHARE HIRED AFT13"
"1283","12","CHILD CARE SUBSIDY"
"1284","12","TRANSIT BENEFIT PRETAX"
"2313","23","INTEG.DATA COMM UTIL(IDCU/GOE)"
"2315","23","DEC EMERGENCY COMMUNICATIONS"
"2320","23","REGULAR MAIL SERVICE"
"2321","23","AIRMAIL & AIR FREIGHT EXP SVC"
"2324","23","SOFTWARE RENTAL & LICENSE FEE"
"2329","23","REAL PROPERTY RENTAL-OWNR AGT"
"2330","23","REAL PROPERTY RENTAL-RNT AGT"
"2331","23","REAL PROP RENTAL - GSA"
"2332","23","REAL PROP RNTL OTH FED AGENCY"
"2334","23","RENT,COMM & UTIL - MARKETING"
"2335","23","SOFTWARE LEASE/LICENSE FEE CAP"
"2341","23","EQUIPMENT RENTALS"
"2343","23","IT EQUIPMENT RENTALS"
"2350","23","MOTION PICTURE FILM RENTALS"
"2389","23","PURCHASED CHILLED WATER"
"2390","23","UTILITY SERVICES"
"2391","23","ELECTRICITY-BUILDINGS"
"2392","23","WATER"
"2393","23","PURCHASED STEAM/HEAT/WATER"
"2394","23","NATURAL GAS - BUILDING"
"2395","23","SEWER"
"2396","23","PURC RENEW ELEC ENERGY BLDG"
"2397","23","NATURAL GAS LANDFILL/BIOMASS"
"2398","23","RENEWABLE THERMAL ENERGY"
"2399","23","OTHER RENEWABLE ENERGY SOURCES"
"2423","24","FORMS AND FORMS LETTERS"
"2424","24","OTHER PRINTING & REPRODUCTION"
"2434","24","PRINTING & REPRO - MARKETING"
"2500","25","CAREGIVER STIPEND"
"2501","25","IT NETWORK MAINTENANCE"
"2502","25"," IT PERIPHERAL DEVICE MAINTENA"
"2503","25","TELECOMMUNICATIONS MAINTEN"
"2504","25","VBA VRE CH31 CNTRCT CNSEL(GOE)"
"2505","25","VBA CH31 REHABILITATN SVC(GOE)"
"2506","25","VBA CH31-EMPLOYMNT SVC (GOE)"
"2507","25","IT VIDEOCONFERENCING MAINTENAN"
"1000","10","VCS ADMINISTRATION"
"1001","10","ADMINISTRATIVE PERSONNEL NOT OTHERWISE CLASSIFIED"
"1002","10","CLERICAL PERSONNEL"
"1005","10","PURCHASE AND HIRE EMPLOYEES - PERSONAL PROPERTY"
"1006","10","PURCHASE AND HIRE EMPLOYEES - REAL PROPERTY"
"1007","10","COMPUTER SYSTEMS ANALYSTS, PROGRAMMERS AND COMPUTER OPERATORS"
"1008","10","WAGE RATE EMPLOYEES"
"1009","10","PURCHASE AND HIRE EMPLOYEES"
"1011","10","FEE BASIS PHYSICIANS"
"1012","10","FEE BASIS -- DENTAL SERVICES"
"1013","10","FEE BASIS -- CONSULTANTS AND ATTENDINGS"
"1014","10","RESPIRATORY THERAPISTS"
"1015","10","PHYSICAL THERAPIST"
"1016","10","OCCUPATIONAL THERAPIST"
"1017","10","OTHER THERAPISTS"
"1285","12","TRANSIT SUBSIDY"
"1286","12","LIABILITY INSURANCE REIMB PROG"
"1287","12","EDUCATION DEBT REDUCTION PGM"
"1288","12","GARNISHMENT FEE COST"
"1301","13","SEVERANCE PAY PL89-301"
"1302","13","UNEMPLOYMENT COMP PAYMENTS"
"1303","13","VOLUNTARY SEPARATION INCENTIVE"
"1304","13","OTHER BENEFITS"
"2101","21","PERMANENT DUTY TRAVEL"
"2102","21","SEEK PERMANENT RESIDENCE QTR"
"2103","21","EMPLOYEE TRAINING TRAVEL/TDY"
"2104","21","EMPLOYEE ADMIN TRAVEL"
"2105","21","PCS MEALS EMPL/DEPENDENTS"
"2106","21","PERMANENT DUTY TVL - TAX"
"2111","21","EMPLOYEE MEDICAL TRAVEL"
"2112","21","BENEFICIARY TRAVEL COMCAR-COMV"
"2113","21","BENEFTRVREIMBEBTRNSCC"
"2114","21","DONATED TRAVEL FOR EMPLOYEES"
"2115","21","DONATED TRAVEL FOR PATIENTS"
"2119","21","BENEFICIARYTRV SPECMODE"
"2120","21","BENTRV-REIMBELIGBENPOV"
"2121","21","LOCAL TRANSPORTATION OF EMP"
"2122","21","TRAVEL OF WITNESSES"
"2128","21","NONMEDICAL BENEFICIARY TRAVEL"
"2130","21","RENTAL OF CAR FR GOVT MOTOR PL"
"2134","21","TRAVEL - MARKETING"
"2140","21","COMMERCIAL TRANSPORTATION CHRG"
"2150","21","TRAVEL TO BE REIMBURSED"
"2151","21","NON-VA EMPLOYEE ADMIN TRAVEL"
"2160","21","DEC EMERGENCY TDY"
"2170","21","EMPLY TRVL TRNG/CONF VASPONSOR"
"2171","21","EMPLOYEE TRAVEL NON-VASPONSOR"
"2172","21","EMPLOYEE TRAV VA SPONS-COSP"
"2173","21","EMP TRVL NON-VA SPONSORED"
"2210","22","SHIPMENT OF BODIES"
"2508","25","DECLARED EMERGENCY INFO TECH"
"2509","25","IT COMPUTER WORK STAT MNT"
"2510","25","INFORMATION TECH SUPPT SVCSFED"
"2511","25","IT HOSTING SERVICES"
"2512","25","OTH CONTRACT SVCS - MARKETING"
"2513","25","IT COMPUTER SERVER/SYSMNT"
"2514","25","ADVISORY & ASSISTANCE CONTRACT"
"2515","25","SYSTEM ANA&PROGSPTINTERNAL"
"2516","25","SVCS-OTH-SUPPLY FUND-1 VA+FUND"
"2517","25","INFO RESOURCES STUDIES (COMM)"
"2518","25","S&R OUTSOURCE PGM-SUPPLY ONLY"
"2519","25","S&R DROP SHIPMENT-SUPPLY ONLY)"
"2520","25","REPAIR OF FURNITURE AND EQUIP"
"2521","25","INTEREST BACK PAY"
"2522","25","PCS PROP MGMT SVC - FOREIGN"
"2523","25","FEE BASIC PURC CARD PMT"
"2524","25","PCS PROP MGMT SVC - DOMESTIC"
"1046","10","PSYCHIATRY RESEARCH FELLOWS"
"1047","10","SCHIZOPHRENIA RESEARCH FELLOWS"
"1048","10","AMBULATORY CARE FELLOWS"
"1049","10","NEUROSCIENCE AND TRAUMATIC BRAIN INJURIES"
"1051","10","TRAINEES - ALLIED HEALTH PROGRAMS"
"1052","10","INTERDISCIPLINARY TEAM TRAINING IN GERIATRICS"
"1053","10","GERIATRICS EXPANSION"
"1054","10","SUMMER TRAINEES"
"1055","10","UPWARD MOBILITY"
"1056","10","TRAINEES - ADMINISTRATIVE TRAINING PROGRAM"
"1061","10","REGISTERED NURSES"
"1062","10","ADMINISTRATIVE NURSE TRAINEES"
"1063","10","NURSE ANESTHETISTS"
"1064","10","NURSE PRACTITIONERS"
"1065","10","LPNS AND LVNS"
"1066","10","NURSING AIDES AND NURSING ASSISTANTS"
"1067","10","CLINICAL NURSE SPECIALISTS"
"1068","10","FEE BASIS – NURSING"
"1071","10","DENTISTS - FULL TIME"
"1072","10","DENTISTS - PART TIME"
"1073","10","DENTISTS - RESIDENTS, NON CAREER"
"1074","10","EXPANDED DENTAL AUXILIARIES"
"1076","10","CHIROPRACTORS"
"1077","10","PODIATRY RESIDENTS"
"1078","10","WITHOUT COMPENSATION (WOC) EMPLOYEES RECEIVING QUARTERS, SUBSISTENCE AND LAUNDRY (QS&L)"
"1079","10","PODIATRISTS"
"1081","10","PHYSICIANS - FULL TIME"
"1082","10","PHYSICIANS - PART TIME"
"1083","10","PHYSICIANS - RESIDENTS, NON CAREER"
"1084","10","PHYSICIANS ASSISTANTS"
"1085","10","CLINICAL PSYCHOLOGISTS AND COUNSELING PSYCHOLOGISTS"
"1087","10","PSYCHOLOGISTS, PHYSICIANS AND DENTISTS - RESEARCH ASSOCIATES"
"1088","10","OPTOMETRY RESIDENTS"
"1089","10","OPTOMETRISTS"
"1091","10","FEDERAL, SUMMER EMPLOYMENT PROGRAM FOR YOUTH - SUMMER AIDES"
"1092","10","STAY-IN-SCHOOL PROGRAM - PART-TIME EMPLOYMENT OF NEEDY STUDENTS"
"1093","10","SUBSISTENCE AND TEMPORARY EXPENSES, REAL ESTATE COSTS AND MISCELLANEOUS EXPENSES"
"1094","10","EMPLOYEE COMPENSATION PAYMENTS"
"1095","10","EMPLOYEE SALARY CONTINUATION"
"1096","10","EMPLOYEES ON SICK LEAVE PENDING DISABILITY RETIREMENT"
"1097","10","UNEMPLOYMENT COMPENSATION"
"1100","11","REGULAR PAY"
"1101","11","REGULAR PAY"
"1102","11","NIGHT DIFFERENTIAL"
"1103","11","HOLIDAY PAY"
"1104","11","OVERTIME PAY"
"1105","11","TERMINAL LEAVE"
"1106","11","POST DIFF(MANILA ONLY)"
"1107","11","PREM PAY ANNUAL BASIS(STANDBY)"
"1108","11","SUNDAY PREMIUM PAY"
"1109","11","ON CALL PAY"
"1110","11","MARKET PAY P/T DENTISTS"
"1111","11","MARKET PAY F/T DENTISTS"
"1112","11","MARKET PAY P/T PHYSICIANS"
"1113","11","MARKET PAY F/T PHYSICIANS"
"1114","11","PERFORMANCE PAY PHYS & DENTIST"
"1115","11","SENIOR EXEC.SERVICE BONUS"
